"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"Ee_060","0.00","0.10","0.00","0.00","0.00","0.32","0.00","0.00","0.03","0.40","0.00","0.00","0.21","0.31","0.04","0.00"
"Ee_061","0.00","0.00","0.30","0.00","0.00","0.00","0.26","0.01","0.00","0.23","0.31","0.00","0.00","0.18","0.14","0.15"
"Ee_062","0.00","0.00","0.27","0.06","0.00","0.00","0.29","0.00","0.00","0.17","0.49","0.00","0.00","0.15","0.35","0.14"
"Ee_063","0.00","0.00","0.24","0.00","0.00","0.00","0.24","0.00","0.00","0.18","0.24","0.00","0.00","0.22","0.29","0.00"
"Ee_064","0.00","0.02","0.17","0.00","0.00","0.07","0.19","0.00","0.02","0.32","0.19","0.00","0.13","0.17","0.25","0.00"
"Ee_065","0.00","0.15","0.07","0.00","0.00","0.18","0.13","0.00","0.07","0.24","0.17","0.00","0.10","0.34","0.28","0.00"
"Ee_066","0.00","0.00","0.14","0.00","0.00","0.00","0.33","0.00","0.00","0.21","0.33","0.00","0.00","0.26","0.37","0.00"
"Ee_067","0.00","0.00","0.10","0.00","0.00","0.00","0.37","0.00","0.00","0.07","0.37","0.03","0.00","0.30","0.47","0.04"
"Ee_068","0.00","0.09","0.00","0.00","0.00","0.33","0.00","0.00","0.16","0.47","0.00","0.00","0.14","0.43","0.00","0.00"
"Ee_069","0.00","0.00","0.38","0.00","0.00","0.00","0.39","0.00","0.05","0.41","0.31","0.00","0.26","0.35","0.38","0.00"
"Ee_070","0.00","0.00","0.11","0.00","0.00","0.02","0.40","0.00","0.01","0.36","0.45","0.00","0.03","0.36","0.42","0.02"
"Ee_071","0.00","0.00","0.29","0.00","0.00","0.00","0.44","0.00","0.00","0.11","0.48","0.00","0.00","0.35","0.46","0.02"
"Ee_072","0.00","0.00","0.17","0.00","0.00","0.00","0.33","0.00","0.00","0.28","0.32","0.00","0.00","0.30","0.39","0.00"
"Ee_073","0.00","0.00","0.15","0.19","0.00","0.00","0.23","0.05","0.00","0.17","0.52","0.05","0.00","0.30","0.46","0.11"
"Ee_074","0.00","0.00","0.02","0.00","0.00","0.00","0.32","0.00","0.00","0.20","0.34","0.00","0.00","0.29","0.37","0.05"
"Ee_075","0.00","0.00","0.05","0.00","0.00","0.00","0.33","0.00","0.00","0.14","0.36","0.00","0.00","0.25","0.33","0.01"
"Ee_076","0.00","0.07","0.11","0.00","0.00","0.21","0.04","0.00","0.00","0.33","0.05","0.00","0.00","0.37","0.09","0.00"
"Ee_077","0.00","0.00","0.18","0.14","0.00","0.00","0.23","0.18","0.00","0.14","0.24","0.18","0.00","0.11","0.32","0.13"
"Ee_078","0.00","0.00","0.20","0.05","0.00","0.04","0.40","0.20","0.00","0.26","0.16","0.21","0.00","0.28","0.27","0.20"
"Ee_079","0.00","0.00","0.37","0.00","0.00","0.00","0.37","0.00","0.00","0.28","0.53","0.00","0.00","0.20","0.64","0.03"
"Ee_080","0.00","0.03","0.21","0.00","0.00","0.20","0.22","0.00","0.13","0.27","0.22","0.00","0.08","0.17","0.23","0.00"
"Ee_081","0.00","0.00","0.15","0.16","0.00","0.00","0.25","0.17","0.00","0.08","0.32","0.09","0.00","0.04","0.13","0.20"
"Ee_082","0.00","0.00","0.00","0.00","0.00","0.20","0.08","0.00","0.00","0.23","0.30","0.00","0.00","0.36","0.30","0.02"
"Ee_083","0.00","0.12","0.00","0.00","0.00","0.26","0.05","0.00","0.00","0.31","0.20","0.00","0.05","0.20","0.26","0.02"
"Ee_084","0.00","0.00","0.32","0.00","0.00","0.00","0.44","0.00","0.00","0.20","0.33","0.00","0.00","0.18","0.29","0.03"
"Ee_085","0.00","0.11","0.17","0.00","0.00","0.16","0.20","0.00","0.08","0.20","0.24","0.00","0.10","0.26","0.21","0.00"
"Ee_086","0.00","0.00","0.10","0.00","0.00","0.00","0.26","0.07","0.00","0.12","0.22","0.07","0.00","0.21","0.42","0.18"
"Ee_087","0.00","0.00","0.30","0.05","0.00","0.00","0.25","0.13","0.00","0.05","0.37","0.13","0.00","0.14","0.27","0.15"
"Ee_088","0.00","0.00","0.35","0.00","0.00","0.00","0.40","0.00","0.00","0.00","0.47","0.00","0.00","0.15","0.28","0.13"
"Ee_089","0.00","0.00","0.23","0.00","0.00","0.00","0.35","0.00","0.00","0.13","0.37","0.00","0.00","0.27","0.32","0.02"
"Ee_090","0.00","0.05","0.13","0.00","0.00","0.05","0.33","0.00","0.00","0.18","0.38","0.00","0.00","0.29","0.37","0.02"
"Ee_091","0.00","0.00","0.26","0.00","0.00","0.00","0.22","0.00","0.00","0.10","0.38","0.00","0.00","0.29","0.31","0.00"
"Ee_092","0.00","0.00","0.35","0.00","0.00","0.00","0.39","0.00","0.00","0.22","0.40","0.00","0.00","0.35","0.23","0.05"
"Ee_093","0.00","0.00","0.36","0.00","0.00","0.00","0.30","0.00","0.00","0.13","0.40","0.00","0.00","0.21","0.45","0.08"
"Ee_094","0.00","0.00","0.28","0.05","0.00","0.00","0.29","0.00","0.00","0.19","0.40","0.00","0.00","0.27","0.22","0.07"
"Ee_095","0.00","0.00","0.20","0.00","0.00","0.00","0.39","0.04","0.00","0.22","0.33","0.04","0.00","0.17","0.14","0.10"
"Ee_096","0.00","0.00","0.45","0.00","0.00","0.00","0.54","0.00","0.00","0.24","0.46","0.00","0.00","0.25","0.40","0.01"
"Ee_097","0.00","0.00","0.18","0.00","0.00","0.00","0.23","0.00","0.00","0.29","0.32","0.00","0.05","0.36","0.27","0.00"
"Ee_098","0.00","0.00","0.22","0.00","0.00","0.00","0.34","0.00","0.00","0.14","0.31","0.00","0.02","0.11","0.31","0.07"
"Ee_099","0.00","0.00","0.18","0.00","0.00","0.00","0.33","0.00","0.02","0.27","0.29","0.00","0.09","0.23","0.22","0.00"
"Ee_100","0.00","0.00","0.00","0.17","0.00","0.00","0.04","0.14","0.00","0.00","0.20","0.15","0.00","0.07","0.20","0.22"
"F_001","0.00","0.21","0.29","0.06","0.00","0.44","0.09","0.00","0.11","0.55","0.05","0.00","0.02","0.31","0.02","0.01"
"F_002","0.00","0.00","0.00","0.00","0.00","0.37","0.32","0.00","0.00","0.53","0.19","0.00","0.02","0.13","0.01","0.02"
"F_003","0.00","0.00","0.00","0.00","0.02","0.55","0.13","0.00","0.02","0.52","0.06","0.00","0.07","0.30","0.01","0.01"
"F_004","0.00","0.07","0.12","0.00","0.00","0.26","0.18","0.00","0.00","0.38","0.48","0.00","0.01","0.13","0.00","0.00"
"F_005","0.00","0.14","0.17","0.00","0.00","0.51","0.28","0.00","0.00","0.57","0.15","0.00","0.01","0.23","0.00","0.01"
"F_006","0.00","0.00","0.00","0.00","0.10","0.43","0.31","0.00","0.09","0.55","0.12","0.00","0.00","0.21","0.00","0.00"
"F_007","0.00","0.00","0.00","0.00","0.02","0.44","0.28","0.00","0.00","0.45","0.34","0.00","0.00","0.25","0.00","0.00"
"F_008","0.00","0.00","0.00","0.00","0.00","0.31","0.22","0.00","0.00","0.21","0.34","0.00","0.00","0.30","0.00","0.00"
"F_009","0.00","0.00","0.00","0.00","0.00","0.20","0.30","0.00","0.00","0.18","0.45","0.00","0.00","0.00","0.28","0.00"
"F_010","0.00","0.00","0.00","0.00","0.02","0.32","0.36","0.00","0.00","0.43","0.17","0.00","0.00","0.18","0.00","0.00"
"F_011","0.06","0.16","0.05","0.00","0.02","0.33","0.13","0.00","0.01","0.54","0.23","0.00","0.00","0.18","0.00","0.00"
"F_012","0.00","0.00","0.00","0.00","0.06","0.40","0.16","0.00","0.00","0.48","0.28","0.00","0.00","0.12","0.00","0.00"
"F_013","0.00","0.00","0.00","0.00","0.12","0.49","0.24","0.00","0.00","0.52","0.40","0.00","0.00","0.10","0.04","0.00"
"F_014","0.00","0.00","0.00","0.00","0.00","0.46","0.29","0.02","0.00","0.40","0.36","0.06","0.00","0.23","0.00","0.00"
"F_015","0.03","0.05","0.06","0.00","0.00","0.45","0.18","0.00","0.00","0.45","0.39","0.00","0.00","0.16","0.03","0.00"
"F_016","0.00","0.00","0.00","0.00","0.11","0.49","0.24","0.00","0.02","0.42","0.22","0.00","0.00","0.16","0.00","0.00"
"F_017","0.00","0.05","0.14","0.05","0.03","0.53","0.26","0.02","0.00","0.65","0.32","0.00","0.00","0.16","0.00","0.00"
"F_018","0.00","0.02","0.06","0.08","0.00","0.48","0.33","0.06","0.00","0.39","0.25","0.00","0.00","0.13","0.00","0.00"
"F_019","0.00","0.04","0.20","0.00","0.00","0.38","0.52","0.05","0.00","0.13","0.33","0.00","0.00","0.00","0.17","0.00"
"F_020","0.00","0.00","0.00","0.00","0.00","0.33","0.59","0.08","0.00","0.24","0.69","0.02","0.00","0.00","0.31","0.00"
"F_021","0.00","0.02","0.04","0.00","0.28","0.34","0.17","0.00","0.05","0.39","0.12","0.00","0.02","0.18","0.00","0.00"
"F_022","0.00","0.04","0.05","0.00","0.00","0.50","0.26","0.00","0.00","0.55","0.18","0.00","0.00","0.19","0.00","0.00"
"F_023","0.00","0.00","0.00","0.00","0.10","0.46","0.13","0.00","0.00","0.65","0.07","0.00","0.00","0.34","0.00","0.00"
"F_024","0.06","0.31","0.19","0.00","0.11","0.30","0.03","0.00","0.02","0.41","0.12","0.00","0.00","0.16","0.00","0.00"
"F_025","0.02","0.14","0.35","0.00","0.02","0.47","0.42","0.02","0.00","0.25","0.13","0.02","0.00","0.06","0.00","0.00"
"F_026","0.06","0.27","0.02","0.00","0.07","0.35","0.11","0.00","0.10","0.50","0.13","0.00","0.09","0.10","0.00","0.00"
"F_027","0.00","0.38","0.31","0.00","0.00","0.41","0.33","0.03","0.00","0.30","0.00","0.00","0.00","0.23","0.00","0.00"
"F_028","0.00","0.06","0.19","0.00","0.00","0.46","0.06","0.00","0.00","0.37","0.13","0.00","0.00","0.27","0.00","0.00"
"F_029","0.00","0.35","0.29","0.00","0.00","0.33","0.24","0.00","0.00","0.39","0.07","0.00","0.00","0.17","0.00","0.00"
"F_030","0.02","0.42","0.07","0.00","0.06","0.36","0.05","0.00","0.02","0.45","0.02","0.00","0.00","0.25","0.00","0.00"
"F_031","0.00","0.26","0.31","0.00","0.00","0.38","0.01","0.00","0.04","0.65","0.07","0.00","0.00","0.25","0.00","0.00"
"F_032","0.07","0.45","0.11","0.00","0.13","0.49","0.08","0.00","0.15","0.24","0.00","0.00","0.02","0.08","0.00","0.00"
"F_033","0.00","0.19","0.17","0.00","0.21","0.37","0.05","0.00","0.00","0.59","0.27","0.00","0.00","0.27","0.00","0.00"
"F_034","0.00","0.24","0.35","0.00","0.00","0.31","0.13","0.00","0.00","0.38","0.05","0.00","0.00","0.20","0.00","0.00"
"F_035","0.00","0.43","0.28","0.00","0.00","0.41","0.30","0.00","0.04","0.39","0.03","0.00","0.03","0.21","0.00","0.00"
"F_036","0.00","0.03","0.15","0.01","0.00","0.41","0.36","0.02","0.00","0.45","0.28","0.00","0.00","0.28","0.00","0.00"
"F_037","0.00","0.26","0.38","0.02","0.00","0.40","0.20","0.00","0.00","0.48","0.13","0.00","0.00","0.21","0.00","0.00"
"F_038","0.02","0.48","0.33","0.00","0.07","0.65","0.48","0.00","0.05","0.30","0.00","0.00","0.00","0.07","0.00","0.00"
"F_039","0.02","0.34","0.26","0.00","0.02","0.40","0.26","0.00","0.00","0.51","0.10","0.00","0.01","0.31","0.00","0.00"
"F_040","0.00","0.00","0.21","0.18","0.00","0.23","0.31","0.01","0.00","0.33","0.54","0.10","0.00","0.32","0.00","0.00"
"F_041","0.00","0.08","0.35","0.30","0.00","0.30","0.25","0.17","0.00","0.37","0.36","0.05","0.00","0.37","0.00","0.00"
"F_042","0.00","0.21","0.40","0.13","0.00","0.37","0.25","0.08","0.00","0.44","0.13","0.00","0.00","0.25","0.00","0.00"
"F_043","0.00","0.22","0.12","0.00","0.00","0.30","0.10","0.00","0.00","0.40","0.15","0.00","0.00","0.18","0.00","0.00"
"F_044","0.00","0.14","0.16","0.00","0.00","0.49","0.14","0.00","0.00","0.53","0.30","0.00","0.00","0.17","0.00","0.00"
"F_045","0.05","0.42","0.23","0.00","0.18","0.09","0.15","0.00","0.20","0.43","0.03","0.00","0.14","0.07","0.02","0.00"
"F_046","0.00","0.19","0.18","0.00","0.00","0.46","0.43","0.00","0.00","0.43","0.10","0.00","0.00","0.03","0.05","0.00"
"F_047","0.01","0.28","0.09","0.00","0.25","0.23","0.09","0.00","0.21","0.55","0.23","0.00","0.02","0.17","0.00","0.00"
"F_048","0.07","0.22","0.02","0.00","0.28","0.16","0.00","0.00","0.35","0.53","0.10","0.00","0.00","0.13","0.00","0.00"
"F_049","0.00","0.00","0.00","0.00","0.39","0.46","0.15","0.00","0.37","0.40","0.21","0.00","0.31","0.00","0.00","0.00"
"F_050","0.00","0.25","0.19","0.02","0.02","0.51","0.09","0.00","0.02","0.72","0.29","0.00","0.00","0.32","0.00","0.00"
"F_051","0.00","0.17","0.25","0.00","0.00","0.60","0.23","0.00","0.00","0.53","0.28","0.00","0.00","0.12","0.00","0.00"
"F_052","0.00","0.41","0.35","0.12","0.00","0.36","0.38","0.12","0.00","0.31","0.04","0.00","0.00","0.28","0.00","0.00"
"F_053","0.00","0.04","0.22","0.09","0.00","0.00","0.44","0.30","0.00","0.09","0.35","0.02","0.00","0.00","0.26","0.00"
"F_054","0.00","0.00","0.00","0.00","0.00","0.21","0.49","0.13","0.00","0.25","0.43","0.00","0.00","0.18","0.22","0.00"
"F_055","0.00","0.16","0.21","0.00","0.00","0.49","0.23","0.00","0.00","0.59","0.42","0.00","0.00","0.29","0.00","0.00"
"F_056","0.00","0.06","0.17","0.00","0.00","0.49","0.09","0.00","0.01","0.66","0.15","0.00","0.00","0.24","0.00","0.00"
"F_057","0.00","0.18","0.07","0.00","0.11","0.30","0.00","0.00","0.05","0.68","0.12","0.00","0.00","0.27","0.00","0.00"
"F_058","0.00","0.02","0.02","0.00","0.00","0.52","0.09","0.01","0.00","0.61","0.36","0.02","0.00","0.24","0.00","0.00"
"F_059","0.00","0.03","0.05","0.00","0.14","0.41","0.14","0.00","0.00","0.45","0.06","0.00","0.00","0.28","0.00","0.00"
"F_060","0.00","0.23","0.12","0.00","0.01","0.60","0.27","0.00","0.00","0.35","0.05","0.00","0.00","0.32","0.00","0.00"
"F_061","0.00","0.05","0.17","0.02","0.00","0.35","0.37","0.06","0.00","0.46","0.41","0.04","0.00","0.05","0.11","0.00"
"F_062","0.00","0.31","0.17","0.00","0.00","0.56","0.35","0.00","0.00","0.41","0.00","0.00","0.00","0.15","0.00","0.00"
"F_063","0.07","0.44","0.23","0.00","0.20","0.38","0.10","0.00","0.22","0.47","0.05","0.00","0.02","0.24","0.00","0.00"
"F_064","0.00","0.12","0.28","0.18","0.00","0.28","0.08","0.11","0.01","0.45","0.27","0.10","0.00","0.28","0.00","0.00"
"F_065","0.01","0.27","0.24","0.08","0.00","0.49","0.30","0.05","0.00","0.52","0.00","0.00","0.00","0.11","0.00","0.00"
"F_066","0.00","0.00","0.12","0.00","0.15","0.32","0.05","0.00","0.11","0.48","0.35","0.04","0.00","0.24","0.00","0.00"
"F_067","0.00","0.00","0.01","0.00","0.00","0.45","0.29","0.07","0.00","0.50","0.31","0.17","0.00","0.36","0.00","0.00"
"F_068","0.00","0.04","0.08","0.01","0.00","0.44","0.23","0.12","0.00","0.53","0.21","0.02","0.00","0.43","0.00","0.00"
"F_069","0.00","0.08","0.24","0.02","0.02","0.61","0.47","0.20","0.00","0.41","0.00","0.00","0.00","0.18","0.00","0.00"
"F_070","0.00","0.00","0.03","0.00","0.00","0.57","0.23","0.00","0.00","0.55","0.35","0.04","0.00","0.39","0.00","0.00"
"F_071","0.00","0.00","0.00","0.00","0.17","0.44","0.34","0.00","0.09","0.44","0.26","0.00","0.08","0.40","0.00","0.00"
"F_072","0.00","0.11","0.26","0.01","0.14","0.45","0.05","0.00","0.08","0.62","0.21","0.00","0.05","0.29","0.00","0.00"
"F_073","0.00","0.00","0.00","0.00","0.05","0.57","0.36","0.00","0.00","0.57","0.28","0.00","0.07","0.56","0.03","0.00"
"F_074","0.00","0.00","0.14","0.05","0.00","0.60","0.15","0.01","0.02","0.55","0.47","0.02","0.00","0.39","0.00","0.00"
"F_075","0.01","0.26","0.35","0.02","0.00","0.52","0.13","0.02","0.05","0.60","0.34","0.02","0.00","0.29","0.00","0.00"
"F_076","0.05","0.34","0.17","0.00","0.09","0.40","0.24","0.00","0.15","0.27","0.00","0.00","0.03","0.11","0.00","0.00"
"F_077","0.00","0.12","0.25","0.06","0.00","0.46","0.01","0.02","0.00","0.56","0.28","0.01","0.00","0.26","0.00","0.00"
"F_078","0.00","0.00","0.00","0.00","0.08","0.54","0.21","0.06","0.02","0.56","0.29","0.00","0.00","0.43","0.00","0.00"
"F_079","0.00","0.11","0.16","0.02","0.00","0.50","0.34","0.00","0.00","0.40","0.00","0.00","0.00","0.26","0.00","0.00"
"F_080","0.00","0.20","0.24","0.00","0.00","0.52","0.32","0.00","0.00","0.52","0.00","0.00","0.00","0.07","0.00","0.00"
"F_081","0.00","0.17","0.29","0.00","0.00","0.56","0.37","0.09","0.00","0.43","0.00","0.00","0.00","0.19","0.00","0.00"
"F_082","0.00","0.11","0.18","0.00","0.00","0.30","0.31","0.05","0.00","0.27","0.02","0.00","0.00","0.12","0.02","0.00"
"F_083","0.10","0.31","0.12","0.00","0.01","0.56","0.09","0.00","0.00","0.39","0.00","0.00","0.00","0.12","0.00","0.00"
"F_084","0.00","0.10","0.25","0.08","0.00","0.42","0.22","0.00","0.00","0.48","0.12","0.00","0.00","0.25","0.00","0.00"
"F_085","0.00","0.12","0.17","0.02","0.00","0.32","0.25","0.05","0.00","0.43","0.01","0.00","0.00","0.17","0.00","0.00"
"F_086","0.07","0.34","0.13","0.00","0.09","0.62","0.24","0.00","0.02","0.27","0.00","0.00","0.02","0.10","0.00","0.00"
"F_087","0.00","0.00","0.07","0.00","0.20","0.17","0.09","0.00","0.12","0.33","0.19","0.00","0.03","0.06","0.00","0.00"
"F_088","0.00","0.00","0.06","0.16","0.00","0.42","0.34","0.07","0.00","0.40","0.04","0.00","0.00","0.04","0.02","0.00"
"F_089","0.00","0.06","0.19","0.00","0.00","0.38","0.10","0.00","0.00","0.39","0.21","0.00","0.00","0.07","0.01","0.00"
"F_090","0.00","0.07","0.29","0.17","0.00","0.05","0.34","0.05","0.02","0.27","0.42","0.00","0.00","0.00","0.17","0.00"
"F_091","0.00","0.24","0.17","0.01","0.03","0.41","0.13","0.00","0.09","0.34","0.02","0.00","0.00","0.11","0.00","0.00"
"F_092","0.00","0.10","0.21","0.06","0.00","0.41","0.02","0.00","0.05","0.45","0.25","0.00","0.02","0.15","0.00","0.00"
"F_093","0.00","0.26","0.34","0.06","0.00","0.54","0.33","0.10","0.00","0.42","0.00","0.00","0.00","0.11","0.00","0.00"
"F_094","0.00","0.00","0.00","0.00","0.07","0.45","0.39","0.02","0.02","0.57","0.32","0.05","0.00","0.30","0.00","0.00"
"F_095","0.00","0.00","0.06","0.31","0.00","0.12","0.45","0.04","0.00","0.24","0.40","0.04","0.00","0.12","0.17","0.00"
"F_096","0.00","0.23","0.35","0.00","0.00","0.49","0.41","0.09","0.00","0.46","0.00","0.03","0.00","0.15","0.00","0.00"
"F_097","0.00","0.17","0.31","0.18","0.00","0.49","0.33","0.00","0.07","0.36","0.00","0.00","0.00","0.00","0.00","0.00"
"F_098","0.00","0.00","0.03","0.11","0.07","0.46","0.24","0.02","0.03","0.50","0.35","0.00","0.02","0.16","0.00","0.00"
"F_099","0.00","0.10","0.26","0.12","0.01","0.48","0.36","0.02","0.00","0.28","0.00","0.00","0.00","0.29","0.00","0.00"
"F_100","0.00","0.00","0.00","0.00","0.24","0.32","0.25","0.00","0.36","0.43","0.34","0.00","0.30","0.00","0.00","0.00"
"Ff_001","0.00","0.06","0.18","0.00","0.05","0.44","0.45","0.00","0.00","0.20","0.00","0.00","0.00","0.07","0.13","0.00"
"Ff_002","0.00","0.09","0.43","0.08","0.00","0.42","0.59","0.07","0.00","0.80","0.58","0.00","0.00","0.04","0.16","0.00"
"Ff_003","0.00","0.05","0.22","0.00","0.00","0.33","0.07","0.05","0.05","0.57","0.28","0.00","0.00","0.30","0.03","0.00"
"Ff_004","0.00","0.00","0.02","0.00","0.00","0.21","0.21","0.00","0.02","0.49","0.32","0.00","0.02","0.29","0.00","0.00"
"Ff_005","0.00","0.00","0.08","0.00","0.00","0.16","0.41","0.06","0.12","0.64","0.30","0.00","0.00","0.35","0.00","0.00"
"Ff_006","0.00","0.08","0.00","0.00","0.00","0.36","0.11","0.00","0.06","0.55","0.12","0.00","0.00","0.18","0.07","0.00"
"Ff_007","0.00","0.22","0.02","0.00","0.05","0.54","0.03","0.00","0.10","0.47","0.00","0.00","0.00","0.53","0.00","0.00"
"Ff_008","0.00","0.02","0.00","0.00","0.00","0.50","0.01","0.00","0.08","0.70","0.26","0.00","0.00","0.40","0.03","0.00"
"Ff_009","0.00","0.03","0.21","0.00","0.02","0.48","0.19","0.00","0.02","0.55","0.10","0.00","0.00","0.27","0.30","0.00"
"Ff_010","0.00","0.00","0.00","0.00","0.21","0.45","0.37","0.00","0.51","0.50","0.15","0.00","0.42","0.00","0.00","0.00"
"Ff_011","0.00","0.00","0.00","0.00","0.00","0.48","0.23","0.00","0.00","0.64","0.56","0.04","0.00","0.40","0.05","0.00"
"Ff_012","0.00","0.03","0.00","0.00","0.02","0.45","0.13","0.00","0.24","0.65","0.17","0.00","0.00","0.42","0.00","0.00"
"Ff_013","0.00","0.09","0.08","0.00","0.00","0.47","0.32","0.00","0.16","0.66","0.38","0.00","0.00","0.48","0.00","0.00"
"Ff_014","0.00","0.20","0.14","0.00","0.00","0.47","0.05","0.00","0.24","0.67","0.25","0.00","0.00","0.43","0.00","0.00"
"Ff_015","0.00","0.07","0.15","0.00","0.00","0.50","0.13","0.00","0.11","0.72","0.37","0.00","0.00","0.49","0.02","0.00"
"Ff_016","0.00","0.40","0.55","0.12","0.00","0.57","0.24","0.01","0.10","0.69","0.69","0.32","0.37","0.71","0.12","0.00"
"Ff_017","0.00","0.66","0.74","0.30","0.11","0.76","0.17","0.05","0.49","0.82","0.53","0.29","0.45","0.81","0.36","0.00"
"Ff_018","0.00","0.15","0.76","0.57","0.00","0.37","0.61","0.27","0.00","0.54","0.58","0.17","0.00","0.58","0.63","0.00"
"Ff_019","0.00","0.33","0.65","0.47","0.00","0.44","0.19","0.05","0.05","0.73","0.68","0.24","0.21","0.59","0.29","0.00"
"Ff_020","0.00","0.21","0.13","0.00","0.05","0.54","0.17","0.00","0.14","0.42","0.00","0.00","0.07","0.50","0.00","0.00"
"Ff_021","0.00","0.10","0.16","0.00","0.00","0.53","0.18","0.00","0.12","0.60","0.10","0.00","0.00","0.44","0.07","0.00"
"Ff_022","0.00","0.17","0.07","0.00","0.03","0.32","0.05","0.00","0.43","0.45","0.00","0.00","0.00","0.44","0.00","0.00"
"Ff_023","0.00","0.00","0.00","0.00","0.00","0.39","0.31","0.00","0.22","0.67","0.15","0.00","0.00","0.46","0.00","0.00"
"Ff_024","0.00","0.09","0.00","0.00","0.08","0.52","0.09","0.00","0.59","0.47","0.07","0.00","0.43","0.01","0.00","0.00"
"Ff_025","0.00","0.05","0.14","0.00","0.00","0.55","0.31","0.00","0.08","0.35","0.00","0.00","0.26","0.56","0.04","0.00"
"Ff_026","0.00","0.36","0.32","0.00","0.00","0.46","0.18","0.00","0.26","0.58","0.06","0.00","0.00","0.45","0.00","0.00"
"Ff_027","0.00","0.20","0.27","0.00","0.00","0.39","0.03","0.00","0.07","0.65","0.23","0.00","0.00","0.45","0.12","0.00"
"Ff_028","0.00","0.11","0.43","0.00","0.00","0.53","0.10","0.00","0.12","0.62","0.14","0.00","0.00","0.25","0.15","0.00"
"Ff_029","0.00","0.17","0.23","0.00","0.00","0.37","0.30","0.00","0.11","0.61","0.18","0.00","0.00","0.36","0.00","0.00"
"Ff_030","0.00","0.00","0.47","0.29","0.00","0.05","0.25","0.08","0.00","0.34","0.46","0.00","0.00","0.01","0.39","0.00"
"Ff_031","0.00","0.27","0.31","0.00","0.00","0.41","0.12","0.00","0.27","0.53","0.07","0.00","0.00","0.50","0.00","0.00"
"Ff_032","0.01","0.53","0.15","0.00","0.13","0.14","0.00","0.00","0.35","0.43","0.07","0.00","0.24","0.14","0.00","0.00"
"Ff_033","0.00","0.46","0.33","0.00","0.22","0.36","0.05","0.00","0.33","0.10","0.00","0.00","0.12","0.31","0.00","0.00"
"Ff_034","0.00","0.42","0.33","0.00","0.00","0.37","0.10","0.00","0.20","0.54","0.10","0.00","0.00","0.45","0.00","0.00"
"Ff_035","0.00","0.21","0.44","0.23","0.00","0.32","0.00","0.00","0.13","0.55","0.18","0.00","0.00","0.45","0.00","0.00"
"Ff_036","0.00","0.34","0.32","0.00","0.00","0.33","0.03","0.00","0.27","0.37","0.07","0.00","0.04","0.35","0.00","0.00"
"Ff_037","0.00","0.17","0.43","0.00","0.06","0.61","0.34","0.00","0.02","0.37","0.00","0.00","0.00","0.49","0.00","0.00"
"Ff_038","0.00","0.11","0.31","0.00","0.00","0.43","0.00","0.00","0.17","0.54","0.19","0.00","0.10","0.35","0.00","0.00"
"Ff_039","0.00","0.06","0.55","0.00","0.00","0.37","0.24","0.03","0.15","0.65","0.35","0.06","0.00","0.42","0.00","0.00"
"Ff_040","0.00","0.45","0.02","0.00","0.00","0.54","0.19","0.00","0.30","0.57","0.19","0.00","0.29","0.14","0.00","0.00"
"Ff_041","0.00","0.36","0.59","0.03","0.00","0.23","0.45","0.05","0.00","0.58","0.24","0.00","0.00","0.43","0.00","0.00"
"Ff_042","0.10","0.83","0.25","0.00","0.10","0.62","0.42","0.00","0.19","0.32","0.00","0.00","0.00","0.52","0.00","0.00"
"Ff_043","0.00","0.20","0.69","0.00","0.00","0.33","0.32","0.07","0.00","0.42","0.37","0.02","0.00","0.30","0.16","0.00"
"Ff_044","0.00","0.57","0.22","0.00","0.00","0.83","0.11","0.00","0.21","0.66","0.21","0.00","0.02","0.50","0.00","0.00"
"Ff_045","0.00","0.17","0.26","0.00","0.00","0.37","0.35","0.00","0.08","0.60","0.15","0.00","0.04","0.42","0.00","0.00"
"Ff_046","0.00","0.16","0.35","0.00","0.00","0.44","0.29","0.06","0.18","0.61","0.12","0.00","0.00","0.49","0.01","0.00"
"Ff_047","0.00","0.24","0.50","0.01","0.00","0.39","0.15","0.07","0.09","0.46","0.00","0.00","0.07","0.49","0.03","0.00"
"Ff_048","0.00","0.00","0.38","0.20","0.00","0.18","0.08","0.16","0.00","0.37","0.00","0.00","0.10","0.65","0.20","0.00"
"Ff_049","0.00","0.01","0.17","0.00","0.00","0.36","0.21","0.00","0.31","0.55","0.05","0.00","0.02","0.45","0.00","0.00"
"Ff_050","0.00","0.41","0.08","0.00","0.21","0.08","0.03","0.00","0.56","0.20","0.00","0.00","0.44","0.01","0.00","0.00"
"Ff_051","0.00","0.22","0.21","0.00","0.00","0.36","0.03","0.00","0.00","0.40","0.00","0.00","0.07","0.55","0.07","0.00"
"Ff_052","0.00","0.45","0.18","0.00","0.00","0.31","0.00","0.00","0.06","0.50","0.06","0.00","0.00","0.41","0.00","0.00"
"Ff_053","0.00","0.19","0.43","0.00","0.00","0.23","0.07","0.00","0.00","0.52","0.31","0.00","0.00","0.05","0.26","0.00"
"Ff_054","0.00","0.00","0.44","0.00","0.00","0.08","0.40","0.02","0.00","0.26","0.40","0.00","0.00","0.33","0.21","0.00"
"Ff_055","0.00","0.02","0.55","0.20","0.00","0.15","0.14","0.14","0.00","0.23","0.34","0.02","0.00","0.21","0.34","0.00"
